content_id	content	subject	sentiment_value
0	to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.	food	positive
1	to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.	misc	negative
2	all the money went into the interior decoration, none of it went to the chefs.	ambience	positive
3	all the money went into the interior decoration, none of it went to the chefs.	food	negative
4	faan's got a great concept but a little rough on the delivery.	misc	positive
5	faan's got a great concept but a little rough on the delivery.	service	negative
6	the price is reasonable although the service is poor.	service	negative
7	the price is reasonable although the service is poor.	price	positive
8	pricey, but worth a try, at least once.	price	negative
9	pricey, but worth a try, at least once.	misc	positive
10	unfortunately, the food is outstanding, but everything else about this restaurant is the pits.	food	positive
11	unfortunately, the food is outstanding, but everything else about this restaurant is the pits.	misc	negative
12	they are often crowded on the weekends but they are efficient and accurate with their service.	service	positive
13	they are often crowded on the weekends but they are efficient and accurate with their service.	ambience	negative
14	it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.	food	positive
15	it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.	ambience	conflict
16	overall a oh ya even though there is waiting it is deff worth it	misc	positive
17	overall a oh ya even though there is waiting it is deff worth it	service	negative
18	good selection of wines ranging from affordable to high end.	food	positive
19	good selection of wines ranging from affordable to high end.	price	conflict
20	this place is really trendi but they have forgotten about the most important part of a  restaurant, the food.	food	negative
21	this place is really trendi but they have forgotten about the most important part of a  restaurant, the food.	misc	positive
22	service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.	misc	positive
23	service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.	service	negative
24	eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.	misc	negative
25	eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.	ambience	positive
26	granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.	service	positive
27	granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.	ambience	negative
28	the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.	food	negative
29	the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.	service	negative
30	the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.	ambience	positive
31	if you're craving for haru's great food, especially the house roll, but can't stand the wait building outside, head across the street to their sake bar!	food	positive
32	if you're craving for haru's great food, especially the house roll, but can't stand the wait building outside, head across the street to their sake bar!	service	negative
33	would have rather tried terrace in the sky or water club for that price	misc	neutral
34	would have rather tried terrace in the sky or water club for that price	price	negative
35	they might be all business at the counter when you give your order, but their food says i love you.	food	positive
36	they might be all business at the counter when you give your order, but their food says i love you.	service	negative
37	lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.	misc	neutral
38	lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.	food	positive
39	the menu looked good, except for offering the chilean sea bass, but the server does not offer up the specials that were written on the board outside.	food	conflict
40	the menu looked good, except for offering the chilean sea bass, but the server does not offer up the specials that were written on the board outside.	service	negative
41	since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.	service	positive
42	since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.	ambience	negative
43	it costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.	food	neutral
44	it costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.	price	negative
45	the food is great, service is ok.	food	positive
46	the food is great, service is ok.	service	neutral
47	the rest of the dim sum, though pricey by chinatown standards, is worth it.	food	positive
48	the rest of the dim sum, though pricey by chinatown standards, is worth it.	price	negative
49	the lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.	price	negative
50	the lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.	food	conflict
51	the italian food has flavor (that can be sort of surprising on the ues), and the service turns from a nightmare to attentive,they sort of remind me of the ny yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner.	food	positive
52	the italian food has flavor (that can be sort of surprising on the ues), and the service turns from a nightmare to attentive,they sort of remind me of the ny yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner.	service	conflict
53	the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.	service	conflict
54	the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.	ambience	negative
55	the ambience was nice, but service wasn't so great.	service	negative
56	the ambience was nice, but service wasn't so great.	ambience	positive
57	the location and ambience is ok but the food is what makes up for it.	food	positive
58	the location and ambience is ok but the food is what makes up for it.	ambience	neutral
59	while we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.	ambience	negative
60	while we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.	food	positive
61	while the $20 entree range is not overly expensive, in new york city, there is definitely better food in that range, and so sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which i will return.	misc	negative
62	while the $20 entree range is not overly expensive, in new york city, there is definitely better food in that range, and so sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which i will return.	ambience	positive
63	while the $20 entree range is not overly expensive, in new york city, there is definitely better food in that range, and so sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which i will return.	price	positive
64	while the $20 entree range is not overly expensive, in new york city, there is definitely better food in that range, and so sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which i will return.	food	negative
65	prices are higher to dine in and their chicken tikka marsala is quite good.	food	positive
66	prices are higher to dine in and their chicken tikka marsala is quite good.	price	negative
67	the restaurant is rather small but we were lucky to get a table quickly.	service	positive
68	the restaurant is rather small but we were lucky to get a table quickly.	ambience	negative
69	i was a little leary about mary's at first - it's small, crowded and you usually have to wait on line - but i'm glad i finally tried it.	ambience	negative
70	i was a little leary about mary's at first - it's small, crowded and you usually have to wait on line - but i'm glad i finally tried it.	misc	positive
71	the restaurant itself is not large, but seems to have several round tables to accommodate large groups hoping to save a buck to eat authentic taiwanese.	ambience	conflict
72	the restaurant itself is not large, but seems to have several round tables to accommodate large groups hoping to save a buck to eat authentic taiwanese.	price	positive
73	the restaurant itself is not large, but seems to have several round tables to accommodate large groups hoping to save a buck to eat authentic taiwanese.	food	positive
74	we were fans of the half-price saturday night option until some inedible squid during a recent visit.	food	negative
75	we were fans of the half-price saturday night option until some inedible squid during a recent visit.	price	positive
76	the food is reliable and the price is moderate.	food	positive
77	the food is reliable and the price is moderate.	price	neutral
78	while the ambiance and atmosphere were great, the food and service could have been a lot better.	food	negative
79	while the ambiance and atmosphere were great, the food and service could have been a lot better.	service	negative
80	while the ambiance and atmosphere were great, the food and service could have been a lot better.	ambience	positive
81	the food is usually good but it certainly isn't a relaxing place to go.	food	positive
82	the food is usually good but it certainly isn't a relaxing place to go.	ambience	negative
83	still, any quibbles about the bill were off-set by the pour-your-own measures of liqueurs which were courtesy of the house.	food	positive
84	still, any quibbles about the bill were off-set by the pour-your-own measures of liqueurs which were courtesy of the house.	price	conflict
85	even though its good seafood, the prices are too high.	food	positive
86	even though its good seafood, the prices are too high.	price	negative
87	it won't break the bank but i also wouldn't come back for the food.	food	negative
88	it won't break the bank but i also wouldn't come back for the food.	price	conflict
89	my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal.	service	positive
90	my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal.	food	negative
91	however, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.	service	neutral
92	however, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.	ambience	negative
93	outstanding bagels, but you get what you pay for.	food	positive
94	outstanding bagels, but you get what you pay for.	price	negative
95	the svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!	service	negative
96	the svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!	misc	positive
97	while the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.	food	positive
98	while the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.	ambience	negative
99	while the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.	price	positive
100	it's a shame that a nice, convenient place like the pink pony can be so ruined by lousy service.	service	negative
101	it's a shame that a nice, convenient place like the pink pony can be so ruined by lousy service.	ambience	positive
102	while the food was excellent, it wasn't cheap (though not extremely expensive either).	food	positive
103	while the food was excellent, it wasn't cheap (though not extremely expensive either).	price	conflict
104	as much as i like the food there, i can't bring myself to go back.	misc	negative
105	as much as i like the food there, i can't bring myself to go back.	food	positive
106	nha trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegetables.	food	positive
